population_density,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million
54.422,150458.0,2957.0,422.429,6908.0,171.0,24.429,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,152033.0,1575.0,225.0,7021.0,113.0,16.143,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,152511.0,478.0,68.286,7070.0,49.0,7.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,153033.0,522.0,74.571,7109.0,39.0,5.571,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,153423.0,390.0,55.714,7132.0,23.0,3.286,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,153990.0,567.0,81.0,7167.0,35.0,5.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,154539.0,549.0,78.429,7199.0,32.0,4.571,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,154899.0,360.0,51.429,7199.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,155141.0,242.0,34.571,7212.0,13.0,1.857,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,155344.0,203.0,29.0,7221.0,9.0,1.286,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,155617.0,273.0,39.0,7238.0,17.0,2.429,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,155818.0,201.0,28.714,7253.0,15.0,2.143,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,156088.0,270.0,38.571,7272.0,19.0,2.714,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.422,156275.0,187.0,26.714,7284.0,12.0,1.714,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
